baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id.84	gene_name.84	gene_type.84	chr.84	start.84	stop.84	loc.84	Gene	gene_type.107	chr	start	stop.107	loc.107	gene_id.107
MAPRE3	110.730136576021	-0.0785655770614406	0.200220161374724	-0.392395933166793	0.694765690465935	0.889521711887627	ENSG00000084764	MAPRE3	protein_coding	chr2	26970612	27027196	chr2:26970612	MAPRE3	protein_coding	chr2	26970637	27027219	chr2:26970637	ENSG00000084764
MARCKSL1	2088.06508012507	-0.212633300959561	0.25854836779006	-0.822412080095659	0.410842406423739	0.733097763672434	ENSG00000175130	MARCKSL1	protein_coding	chr1	32333832	32336379	chr1:32333832	MARCKSL1	protein_coding	chr1	32333839	32336233	chr1:32333839	ENSG00000175130
MARK2	2830.83707480688	-0.470632320585694	0.219965673323545	-2.13957165895357	0.0323893990415557	0.235389267139276	ENSG00000072518	MARK2	protein_coding	chr11	63838928	63911019	chr11:63838928	MARK2	protein_coding	chr11	63838928	63911020	chr11:63838928	ENSG00000072518
MARK3	2515.71915111225	-0.0835498707501643	0.0886186390272696	-0.942802458571435	0.345781953950409	0.685411547937601	ENSG00000075413	MARK3	protein_coding	chr14	103385392	103503831	chr14:103385392	MARK3	protein_coding	chr14	103385377	103503831	chr14:103385377	ENSG00000075413
MARK4	838.748055366116	-0.224353758797626	0.190879303712037	-1.17536974640315	0.23984682172715	0.588996336681417	ENSG00000007047	MARK4	protein_coding	chr19	45079288	45305283	chr19:45079288	MARK4	protein_coding	chr19	45079288	45305284	chr19:45079288	ENSG00000007047
MARS2	448.903448647036	-0.0390806329350151	0.1895027983066	-0.206227207641472	0.836613435985396	0.945093183155302	ENSG00000247626	MARS2	protein_coding	chr2	197705369	197708387	chr2:197705369	MARS2	protein_coding	chr2	197705369	197708395	chr2:197705369	ENSG00000247626
MARVELD2	140.550216942297	0.168174513306873	0.139150654024553	1.20857867672831	0.226824752560362	0.574493189062864	ENSG00000152939	MARVELD2	protein_coding	chr5	69415112	69444330	chr5:69415112	MARVELD2	protein_coding	chr5	69415065	69444330	chr5:69415065	ENSG00000152939
MASP2	771.076533314742	0.33894667894533	0.188038130751018	1.80254226944072	0.0714601305855959	0.343516084848974	ENSG00000009724	MASP2	protein_coding	chr1	11026523	11047233	chr1:11026523	MASP2	protein_coding	chr1	11022009	11047239	chr1:11022009	ENSG00000009724
MAST2	417.844930220089	-0.0765039377671916	0.17806079937048	-0.42965064763084	0.667449788690452	0.877470063472135	ENSG00000086015	MAST2	protein_coding	chr1	45786987	46036124	chr1:45786987	MAST2	protein_coding	chr1	45786987	46036122	chr1:45786987	ENSG00000086015
MAST3	2958.5854127296	-0.428953972674467	0.208484738601414	-2.05748380218156	0.0396397114346797	0.26019175164594	ENSG00000099308	MAST3	protein_coding	chr19	18097793	18151692	chr19:18097793	MAST3	protein_coding	chr19	18097778	18151692	chr19:18097778	ENSG00000099308
MAST4	2504.73324516957	0.232603514981945	0.108661127296768	2.14063226444057	0.0323037047811638	0.234962977603778	ENSG00000069020	MAST4	protein_coding	chr5	66596361	67169595	chr5:66596361	MAST4	protein_coding	chr5	66596380	67169593	chr5:66596380	ENSG00000069020
MASTL	552.74044615897	0.623463150454873	0.18466467608704	3.37619063735292	0.000734969744792805	0.0314638011689924	ENSG00000120539	MASTL	protein_coding	chr10	27154824	27186924	chr10:27154824	MASTL	protein_coding	chr10	27154824	27187953	chr10:27154824	ENSG00000120539
MAT2A	4415.77278220139	-0.357092534621015	0.127435011515361	-2.80215405778003	0.00507626263731049	0.0899822598092001	ENSG00000168906	MAT2A	protein_coding	chr2	85539165	85545280	chr2:85539165	MAT2A	protein_coding	chr2	85539168	85545281	chr2:85539168	ENSG00000168906
MAT2B	3086.82500950444	-0.524952890851239	0.175086026501097	-2.99825692170785	0.0027152866395801	0.0649209696689034	ENSG00000038274	MAT2B	protein_coding	chr5	163503114	163519336	chr5:163503114	MAT2B	protein_coding	chr5	163503114	163519558	chr5:163503114	ENSG00000038274
MATK	443.242861046803	-0.302505223676992	0.31120004760119	-0.972060338707465	0.331020531641668	0.672153889622261	ENSG00000007264	MATK	protein_coding	chr19	3777970	3802129	chr19:3777970	MATK	protein_coding	chr19	3777970	3802129	chr19:3777970	ENSG00000007264
MATN1-AS1	495.646802515158	0.555291643730855	0.165858740668005	3.34797937988911	0.000814030678523888	0.0334013945356021	ENSG00000186056	MATN1-AS1	antisense	chr1	30718504	30726827	chr1:30718504	MATN1-AS1	lncRNA	chr1	30718504	30726827	chr1:30718504	ENSG00000186056
MATR3	10357.838011624	0.343307439715468	0.167356406214557	2.0513552333057	0.040232365253681	0.262204488512201	ENSG00000015479	MATR3	protein_coding	chr5	139293648	139331359	chr5:139293648	MATR3	protein_coding	chr5	139293674	139331677	chr5:139293674	ENSG00000015479
MAU2	3212.50692521959	0.0947720678156277	0.155667714254007	0.608810043044543	0.542650355963499	0.814986310383562	ENSG00000129933	MAU2	protein_coding	chr19	19320681	19358755	chr19:19320681	MAU2	protein_coding	chr19	19320829	19358754	chr19:19320829	ENSG00000129933
MAVS	5852.25212943025	-0.127863578224438	0.100783911240995	-1.26869037577526	0.204551516380847	0.55021368388457	ENSG00000088888	MAVS	protein_coding	chr20	3846799	3876123	chr20:3846799	MAVS	protein_coding	chr20	3846799	3876123	chr20:3846799	ENSG00000088888
MAX	4770.27473879114	0.066018149197439	0.131605489242449	0.50163674461798	0.615923067359795	0.852334447485629	ENSG00000125952	MAX	protein_coding	chr14	65006174	65102695	chr14:65006174	MAX	protein_coding	chr14	65006174	65102695	chr14:65006174	ENSG00000125952
MAZ	5865.50581223782	-0.0294684339561293	0.195880625721416	-0.150440779161282	0.880416870229568	0.961352268015161	ENSG00000103495	MAZ	protein_coding	chr16	29806106	29811164	chr16:29806106	MAZ	protein_coding	chr16	29806106	29811164	chr16:29806106	ENSG00000103495
MB21D2	231.39394957104	-0.156862577261638	0.295155475980467	-0.531457452180284	0.595101818075675	0.842894990404814	ENSG00000180611	MB21D2	protein_coding	chr3	192796815	192918161	chr3:192796815	MB21D2	protein_coding	chr3	192796815	192917856	chr3:192796815	ENSG00000180611
MBD1	3362.2439199843	-0.101651689764581	0.113013904626925	-0.899461797202283	0.368406735710109	0.70133950642077	ENSG00000141644	MBD1	protein_coding	chr18	50266882	50281774	chr18:50266882	MBD1	protein_coding	chr18	50266882	50281774	chr18:50266882	ENSG00000141644
MBD2	3176.68353585013	-0.0352647159111226	0.0965636795558632	-0.365196480429493	0.714964745346783	0.897228719965632	ENSG00000134046	MBD2	protein_coding	chr18	54151601	54224788	chr18:54151601	MBD2	protein_coding	chr18	54151606	54224669	chr18:54151606	ENSG00000134046
MBD3	1534.28287291022	-0.0402813354947158	0.2736811184134	-0.147183465663386	0.882987210950628	0.962132387325145	ENSG00000071655	MBD3	protein_coding	chr19	1573596	1592801	chr19:1573596	MBD3	protein_coding	chr19	1573596	1592865	chr19:1573596	ENSG00000071655
MBD4	1127.61393451533	-0.00893568167994114	0.144087696433643	-0.0620155773262454	0.950550426966277	0.983210973153212	ENSG00000129071	MBD4	protein_coding	chr3	129430944	129440179	chr3:129430944	MBD4	protein_coding	chr3	129430947	129440179	chr3:129430947	ENSG00000129071
MBD5	929.460543642052	0.29612138723734	0.179288597765057	1.65164651254277	0.0986066322901588	0.399703170416394	ENSG00000204406	MBD5	protein_coding	chr2	148021011	148516971	chr2:148021011	MBD5	protein_coding	chr2	148021011	148516971	chr2:148021011	ENSG00000204406
MBD6	3345.40154173059	0.0901423612955665	0.165961938813634	0.543150808793524	0.587025972327428	0.838974122470257	ENSG00000166987	MBD6	protein_coding	chr12	57520710	57530148	chr12:57520710	MBD6	protein_coding	chr12	57520710	57530148	chr12:57520710	ENSG00000166987
MBIP	603.726949432095	0.409276117971308	0.150102067220657	2.72665210779312	0.00639804560216693	0.101377920136084	ENSG00000151332	MBIP	protein_coding	chr14	36298558	36320676	chr14:36298558	MBIP	protein_coding	chr14	36298564	36320637	chr14:36298564	ENSG00000151332
MBLAC1	65.9181256892937	-0.108375967953228	0.201574132071027	-0.53764819344498	0.590819951723736	0.840880192527929	ENSG00000214309	MBLAC1	protein_coding	chr7	100126694	100128498	chr7:100126694	MBLAC1	protein_coding	chr7	100126785	100128495	chr7:100126785	ENSG00000214309
MBLAC2	371.738955192741	0.0101674545481412	0.128216533455959	0.0792990909525224	0.936794729341125	0.979579290586533	ENSG00000176055	MBLAC2	protein_coding	chr5	90458203	90474768	chr5:90458203	MBLAC2	protein_coding	chr5	90458209	90474771	chr5:90458209	ENSG00000176055
MBNL1	20656.9231394512	-0.0785807502261576	0.166458736134517	-0.472073452261801	0.636874360893035	0.863473587007904	ENSG00000152601	MBNL1	protein_coding	chr3	152243828	152465780	chr3:152243828	MBNL1	protein_coding	chr3	152243828	152465780	chr3:152243828	ENSG00000152601
MBNL1-AS1	441.435677164393	-0.716276432177823	0.216356005158382	-3.31063809231215	0.000930835107676881	0.0360163083579667	ENSG00000229619	MBNL1-AS1	antisense	chr3	152262616	152269555	chr3:152262616	MBNL1-AS1	lncRNA	chr3	152245262	152269590	chr3:152245262	ENSG00000229619
MBNL2	1025.81460746035	0.427730683656854	0.188634411550459	2.267511426686	0.0233590016659545	0.202932177256966	ENSG00000139793	MBNL2	protein_coding	chr13	97221434	97394120	chr13:97221434	MBNL2	protein_coding	chr13	97221434	97394120	chr13:97221434	ENSG00000139793
MBOAT1	398.921092944514	-0.317782876205544	0.176020070567639	-1.80537864336004	0.0710154507888549	0.342982668509618	ENSG00000172197	MBOAT1	protein_coding	chr6	20102145	20212399	chr6:20102145	MBOAT1	protein_coding	chr6	20099684	20212469	chr6:20099684	ENSG00000172197
MBOAT4	246.38883445161	0.414214052583678	0.159191700729798	2.60198270817357	0.0092686525468433	0.124004345820849	ENSG00000177669	MBOAT4	protein_coding	chr8	30131824	30144686	chr8:30131824	MBOAT4	protein_coding	chr8	30131671	30144665	chr8:30131671	ENSG00000177669
MBOAT7	628.475199487734	-0.376730772074244	0.220294522911036	-1.7101231891561	0.0872430955220535	0.377479462418363	ENSG00000125505	MBOAT7	protein_coding	chr19	54173412	54189882	chr19:54173412	MBOAT7	protein_coding	chr19	54173412	54189882	chr19:54173412	ENSG00000125505
MBP	6111.18318402798	-0.148868919579376	0.107740838022913	-1.38173159139264	0.167054130540201	0.502088039130145	ENSG00000197971	MBP	protein_coding	chr18	76978827	77133683	chr18:76978827	MBP	protein_coding	chr18	76978827	77133683	chr18:76978827	ENSG00000197971
MBTD1	1540.02897410004	0.203662292773772	0.13311229961315	1.53000356365005	0.12601584683582	0.443145475858128	ENSG00000011258	MBTD1	protein_coding	chr17	51177425	51260163	chr17:51177425	MBTD1	protein_coding	chr17	51177425	51260163	chr17:51177425	ENSG00000011258
MBTPS1	5504.02713447784	0.0246665957136387	0.0973388550568376	0.253409552631737	0.799951746588799	0.931025722623773	ENSG00000140943	MBTPS1	protein_coding	chr16	84053761	84116906	chr16:84053761	MBTPS1	protein_coding	chr16	84053761	84116942	chr16:84053761	ENSG00000140943
MC1R	424.640948772349	-0.16299700895137	0.152934096076695	-1.06579901495366	0.286514506305621	0.631798051864718	ENSG00000258839	MC1R	protein_coding	chr16	89912119	89920977	chr16:89912119	MC1R	protein_coding	chr16	89912119	89920973	chr16:89912119	ENSG00000258839
MCAT	113.630016325269	-0.0827217626644382	0.216298548772654	-0.382442522771547	0.702133154512691	0.892270729329122	ENSG00000100294	MCAT	protein_coding	chr22	43132206	43143394	chr22:43132206	MCAT	protein_coding	chr22	43132209	43143398	chr22:43132209	ENSG00000100294
MCC	340.892092998036	-0.0514219201340778	0.281233004174888	-0.182844543032725	0.854919997425195	0.95180675153426	ENSG00000171444	MCC	protein_coding	chr5	113022099	113488830	chr5:113022099	MCC	protein_coding	chr5	113022099	113488823	chr5:113022099	ENSG00000171444
MCCC1	803.767345390601	-0.0749538044943196	0.0878450999660405	-0.853249692052209	0.393520851882757	0.721257453721096	ENSG00000078070	MCCC1	protein_coding	chr3	183015218	183116075	chr3:183015218	MCCC1	protein_coding	chr3	183015218	183116075	chr3:183015218	ENSG00000078070
MCCC1-AS1	180.898834062866	-0.146882894473802	0.19467950245509	-0.754485668092795	0.450557647995951	0.75978835909361	ENSG00000243368	MCCC1-AS1	antisense	chr3	183016255	183017808	chr3:183016255	MCCC1-AS1	lncRNA	chr3	183016255	183017808	chr3:183016255	ENSG00000243368
MCCC2	1173.61543257941	-0.189193360897431	0.0836129144910155	-2.2627289342696	0.0236524040477595	0.204366471014726	ENSG00000131844	MCCC2	protein_coding	chr5	71587288	71658704	chr5:71587288	MCCC2	protein_coding	chr5	71579531	71658706	chr5:71579531	ENSG00000131844
MCEE	127.149484496365	-0.227748704290594	0.131130604030819	-1.73680816903023	0.0824210366602235	0.367682883733885	ENSG00000124370	MCEE	protein_coding	chr2	71109684	71130239	chr2:71109684	MCEE	protein_coding	chr2	71109684	71130239	chr2:71109684	ENSG00000124370
MCF2L	656.62851491689	-0.182046269641729	0.148504618621165	-1.22586267910043	0.220250355262853	0.567910877144053	ENSG00000126217	MCF2L	protein_coding	chr13	112894378	113099739	chr13:112894378	MCF2L	protein_coding	chr13	112894378	113099742	chr13:112894378	ENSG00000126217
MCF2L-AS1	42.976665866145	-0.713356804892333	0.271272183721843	-2.62967177506042	0.00854673414759636	0.118758602620048	ENSG00000235280	MCF2L-AS1	antisense	chr13	112967484	112968824	chr13:112967484	MCF2L-AS1	lncRNA	chr13	112967484	112968824	chr13:112967484	ENSG00000235280
MCF2L2	242.70607738185	0.0603893312788064	0.202276398295304	0.298548579012386	0.765284504859895	0.918261377689146	ENSG00000053524	MCF2L2	protein_coding	chr3	183178043	183428778	chr3:183178043	MCF2L2	protein_coding	chr3	183178041	183428778	chr3:183178041	ENSG00000053524
MCFD2	2599.03588633917	-0.0119638070290401	0.0463461992507993	-0.258139981755542	0.79629887595883	0.92971134809329	ENSG00000180398	MCFD2	protein_coding	chr2	46901870	46941855	chr2:46901870	MCFD2	protein_coding	chr2	46901870	46941855	chr2:46901870	ENSG00000180398
MCL1	30512.2195398903	0.197555054037118	0.101773642206071	1.9411219816336	0.0522434833927578	0.296328607524127	ENSG00000143384	MCL1	protein_coding	chr1	150574551	150579738	chr1:150574551	MCL1	protein_coding	chr1	150560895	150579738	chr1:150560895	ENSG00000143384
MCM2	512.855696088905	0.148066851649204	0.228731891406425	0.647338028548497	0.517413194436542	0.801718028895741	ENSG00000073111	MCM2	protein_coding	chr3	127598223	127622436	chr3:127598223	MCM2	protein_coding	chr3	127598410	127622436	chr3:127598410	ENSG00000073111
MCM3	1435.23294816999	-0.632636455985136	0.185572672557198	-3.40910354562115	0.000651767359234075	0.0297309330529935	ENSG00000112118	MCM3	protein_coding	chr6	52264009	52284881	chr6:52264009	MCM3	protein_coding	chr6	52264014	52284881	chr6:52264014	ENSG00000112118
MCM3AP	4951.28982914803	-0.116077165927397	0.0911380209026643	-1.27364150304918	0.202790496469317	0.547720234515376	ENSG00000160294	MCM3AP	protein_coding	chr21	46235126	46286297	chr21:46235126	MCM3AP	protein_coding	chr21	46235133	46286297	chr21:46235133	ENSG00000160294
MCM3AP-AS1	393.836522711325	-0.249564284351949	0.121195432344279	-2.05918886153246	0.0394761497801901	0.260065051494294	ENSG00000215424	MCM3AP-AS1	antisense	chr21	46229217	46259390	chr21:46229217	MCM3AP-AS1	lncRNA	chr21	46229196	46259390	chr21:46229196	ENSG00000215424
MCM4	658.309125222036	-0.149857794421242	0.139808128614589	-1.07188184196612	0.283773106978855	0.629502009611365	ENSG00000104738	MCM4	protein_coding	chr8	47960185	47978160	chr8:47960185	MCM4	protein_coding	chr8	47960185	47978160	chr8:47960185	ENSG00000104738
MCM5	1241.1955258789	-0.149264045308629	0.193108214167145	-0.772955443414922	0.439548750490296	0.75271492483611	ENSG00000100297	MCM5	protein_coding	chr22	35400063	35425430	chr22:35400063	MCM5	protein_coding	chr22	35400134	35425431	chr22:35400134	ENSG00000100297
MCM6	1141.34705669487	0.539820015901322	0.181911395818745	2.9674887242314	0.0030024329499384	0.0682280798965463	ENSG00000076003	MCM6	protein_coding	chr2	135839626	135876426	chr2:135839626	MCM6	protein_coding	chr2	135839626	135876443	chr2:135839626	ENSG00000076003
MCM7	2831.56315802746	-0.0343351326146564	0.169473915846195	-0.20259833168555	0.839448994083174	0.945937227483537	ENSG00000166508	MCM7	protein_coding	chr7	100092728	100101940	chr7:100092728	MCM7	protein_coding	chr7	100092728	100101940	chr7:100092728	ENSG00000166508
MCM8	609.184758006412	-0.131423821813721	0.111852947572588	-1.1749696781878	0.240006847005825	0.58917469492116	ENSG00000125885	MCM8	protein_coding	chr20	5950652	5998977	chr20:5950652	MCM8	protein_coding	chr20	5950652	5998977	chr20:5950652	ENSG00000125885
MCM8-AS1	54.5551241564878	0.103813595154718	0.176028941366307	0.589752993734637	0.555356261093558	0.821292982561053	ENSG00000278719	MCM8-AS1	antisense	chr20	5990943	6005821	chr20:5990943	MCM8-AS1	lncRNA	chr20	5990943	6005821	chr20:5990943	ENSG00000278719
MCM9	1085.63853071678	0.425863115518962	0.133285612131015	3.1951169275522	0.00139774199510868	0.0446296905614361	ENSG00000111877	MCM9	protein_coding	chr6	118813442	118935162	chr6:118813442	MCM9	protein_coding	chr6	118813442	118935162	chr6:118813442	ENSG00000111877
MCMBP	1713.55160526306	-0.319766835809213	0.112127121410074	-2.85182417766486	0.00434691369534136	0.0834501134318654	ENSG00000197771	MCMBP	protein_coding	chr10	119829404	119892556	chr10:119829404	MCMBP	protein_coding	chr10	119829404	119892556	chr10:119829404	ENSG00000197771
MCMDC2	107.286408794081	0.0682663421965495	0.13017329533949	0.524426626970699	0.599981840651839	0.845514148217611	ENSG00000178460	MCMDC2	protein_coding	chr8	66870749	66922048	chr8:66870749	MCMDC2	protein_coding	chr8	66870749	66922048	chr8:66870749	ENSG00000178460
MCOLN1	234.748548390702	-0.0202848426430472	0.208157178668307	-0.0974496424904496	0.922369323284107	0.975560923873141	ENSG00000090674	MCOLN1	protein_coding	chr19	7522626	7534009	chr19:7522626	MCOLN1	protein_coding	chr19	7522624	7534009	chr19:7522624	ENSG00000090674
MCOLN2	474.950910736232	-0.0873659581280053	0.189678735618587	-0.46059964414611	0.645085866958554	0.867626197185906	ENSG00000153898	MCOLN2	protein_coding	chr1	84925583	84997113	chr1:84925583	MCOLN2	protein_coding	chr1	84925583	84997113	chr1:84925583	ENSG00000153898
MCOLN3	223.91864913434	0.229907211832798	0.188148984865388	1.22194234530304	0.221729430553826	0.569466716449328	ENSG00000055732	MCOLN3	protein_coding	chr1	85018082	85048499	chr1:85018082	MCOLN3	protein_coding	chr1	85018082	85048500	chr1:85018082	ENSG00000055732
MCPH1	1528.36437502721	0.26184035857319	0.118428293690993	2.21096116825251	0.0270385262200199	0.216489627676289	ENSG00000147316	MCPH1	protein_coding	chr8	6406592	6648504	chr8:6406592	MCPH1	protein_coding	chr8	6406592	6648508	chr8:6406592	ENSG00000147316
MCPH1-AS1	65.1300752691937	0.0254678698273701	0.165439825393369	0.153940381445729	0.877656743786098	0.960538406616875	ENSG00000249898	MCPH1-AS1	antisense	chr8	6618475	6708209	chr8:6618475	MCPH1-AS1	lncRNA	chr8	6617310	6708224	chr8:6617310	ENSG00000249898
MCRS1	1258.27959402399	-0.305205798110679	0.199647606865706	-1.52872254720277	0.126333240295664	0.443534914830708	ENSG00000187778	MCRS1	protein_coding	chr12	49556544	49568153	chr12:49556544	MCRS1	protein_coding	chr12	49556544	49568145	chr12:49556544	ENSG00000187778
MCTP1	123.681800269614	-0.227547287497957	0.215403036872461	-1.05637919874215	0.290795005531993	0.636259280505336	ENSG00000175471	MCTP1	protein_coding	chr5	94703741	95284575	chr5:94703741	MCTP1	protein_coding	chr5	94703690	95285094	chr5:94703690	ENSG00000175471
MCTP2	637.693821824697	-0.0492086597039944	0.203274939293878	-0.242079323082972	0.808718699562667	0.934701106619132	ENSG00000140563	MCTP2	protein_coding	chr15	94231538	94483952	chr15:94231538	MCTP2	protein_coding	chr15	94231538	94483952	chr15:94231538	ENSG00000140563
MCU	443.182527236485	0.0309567249695539	0.0990197304599909	0.312631884834932	0.754560350954493	0.914164466465304	ENSG00000156026	MCU	protein_coding	chr10	72692131	72887694	chr10:72692131	MCU	protein_coding	chr10	72692143	72887694	chr10:72692143	ENSG00000156026
MCUR1	542.296654333	-0.267949403798903	0.0836817439668887	-3.20200549243961	0.00136474395911829	0.0439884383656274	ENSG00000050393	MCUR1	protein_coding	chr6	13786557	13814568	chr6:13786557	MCUR1	protein_coding	chr6	13786557	13814568	chr6:13786557	ENSG00000050393
MDC1	2665.22544592364	0.098576124027609	0.116532031819817	0.845914402145054	0.39760049751937	0.723887198980554	ENSG00000137337	MDC1	protein_coding	chr6	30699807	30717889	chr6:30699807	MDC1	protein_coding	chr6	30699807	30717447	chr6:30699807	ENSG00000137337
MDFIC	4067.28298882158	0.00388257232525454	0.163816102927686	0.0237007977595977	0.981091269665438	0.994086738713073	ENSG00000135272	MDFIC	protein_coding	chr7	114922154	115019916	chr7:114922154	MDFIC	protein_coding	chr7	114922094	115019917	chr7:114922094	ENSG00000135272
MDGA1	893.136333747627	-0.0919129290875873	0.744413219620342	-0.123470307438204	0.901734685586104	0.969636357550893	ENSG00000112139	MDGA1	protein_coding	chr6	37630679	37699306	chr6:37630679	MDGA1	protein_coding	chr6	37630679	37699306	chr6:37630679	ENSG00000112139
MDH1	1553.78176347091	-0.100057868082032	0.126228615156663	-0.792671835604384	0.427969043611185	0.744217156675333	ENSG00000014641	MDH1	protein_coding	chr2	63588609	63607197	chr2:63588609	MDH1	protein_coding	chr2	63588609	63607197	chr2:63588609	ENSG00000014641
MDH2	2981.25884952854	0.154183342644385	0.226564788461305	0.6805265005719	0.49617114789859	0.788529397787056	ENSG00000146701	MDH2	protein_coding	chr7	76048051	76067508	chr7:76048051	MDH2	protein_coding	chr7	76048051	76067508	chr7:76048051	ENSG00000146701
MDK	118.459363174924	0.109142537571736	0.198213572588428	0.55063099941375	0.581886653954424	0.836269154034507	ENSG00000110492	MDK	protein_coding	chr11	46380756	46383837	chr11:46380756	MDK	protein_coding	chr11	46380756	46383837	chr11:46380756	ENSG00000110492
MDM1	629.003682426	-0.212267547974782	0.174264820966839	-1.21807457636659	0.223195634143566	0.571151594016497	ENSG00000111554	MDM1	protein_coding	chr12	68272443	68332381	chr12:68272443	MDM1	protein_coding	chr12	68272443	68332381	chr12:68272443	ENSG00000111554
MDM2	3446.63575386377	0.25350470000812	0.153188588966274	1.65485367884635	0.0979541822917248	0.398400425400004	ENSG00000135679	MDM2	protein_coding	chr12	68808172	68850686	chr12:68808172	MDM2	protein_coding	chr12	68808177	68845544	chr12:68808177	ENSG00000135679
MDM4	12116.9995443414	0.215780705694885	0.129943354871445	1.66057514759689	0.0967988037400007	0.396168071233286	ENSG00000198625	MDM4	protein_coding	chr1	204516379	204558120	chr1:204516379	MDM4	protein_coding	chr1	204516379	204558120	chr1:204516379	ENSG00000198625
MDN1	5970.58132267714	-0.109962722495141	0.16726088223915	-0.657432395567043	0.510902927082818	0.797121856788961	ENSG00000112159	MDN1	protein_coding	chr6	89642499	89819723	chr6:89642499	MDN1	protein_coding	chr6	89642498	89819794	chr6:89642498	ENSG00000112159
MDP1	111.727669133033	-0.306478836639413	0.220590151571703	-1.38935865656628	0.164723715548815	0.499207903897581	ENSG00000213920	MDP1	protein_coding	chr14	24213937	24216070	chr14:24213937	MDP1	protein_coding	chr14	24213943	24216070	chr14:24213943	ENSG00000213920
MDS2	413.410018644684	-0.16337680831424	0.227510040422503	-0.718108123979218	0.472690621397522	0.77320864722844	ENSG00000197880	MDS2	protein_coding	chr1	23581495	23640568	chr1:23581495	MDS2	lncRNA	chr1	23581495	23640568	chr1:23581495	ENSG00000197880
ME2	2144.66524831686	-0.311350683970901	0.145905079365696	-2.1339262849824	0.0328488154562438	0.236891597430076	ENSG00000082212	ME2	protein_coding	chr18	50879049	50954257	chr18:50879049	ME2	protein_coding	chr18	50879080	50954257	chr18:50879080	ENSG00000082212
ME3	179.360540645014	-0.269981418928345	0.303315541451865	-0.89010084229789	0.373411740747978	0.705018272077877	ENSG00000151376	ME3	protein_coding	chr11	86441108	86672636	chr11:86441108	ME3	protein_coding	chr11	86441108	86672636	chr11:86441108	ENSG00000151376
MEA1	761.507737835683	-0.169747541340079	0.240644794853774	-0.705386299517616	0.480569867707963	0.777257362312569	ENSG00000124733	MEA1	protein_coding	chr6	43012094	43013968	chr6:43012094	MEA1	protein_coding	chr6	43011143	43016868	chr6:43011143	ENSG00000124733
MEAF6	1901.7986412324	-0.172134968078213	0.162997740163756	-1.05605739015325	0.290941995895386	0.63643294937286	ENSG00000163875	MEAF6	protein_coding	chr1	37492575	37514774	chr1:37492575	MEAF6	protein_coding	chr1	37489993	37514766	chr1:37489993	ENSG00000163875
MECR	341.570760740406	-0.0181074816326147	0.181851272964813	-0.0995730265584579	0.920683309063091	0.974793099310757	ENSG00000116353	MECR	protein_coding	chr1	29192873	29230942	chr1:29192873	MECR	protein_coding	chr1	29192657	29230942	chr1:29192657	ENSG00000116353
MED1	2548.2771377392	-0.336805616258779	0.132123857386395	-2.54916578217812	0.0107980955823465	0.134617461557937	ENSG00000125686	MED1	protein_coding	chr17	39404285	39451286	chr17:39404285	MED1	protein_coding	chr17	39404285	39451272	chr17:39404285	ENSG00000125686
MED10	1410.57845591083	0.258771150113546	0.164176367219095	1.57617782934747	0.114984826460228	0.426500351583735	ENSG00000133398	MED10	protein_coding	chr5	6371881	6378594	chr5:6371881	MED10	protein_coding	chr5	6371874	6378571	chr5:6371874	ENSG00000133398
MED11	233.362525456161	-0.620656844328193	0.215158941301939	-2.88464351317479	0.00391857108644565	0.0788618860608433	ENSG00000161920	MED11	protein_coding	chr17	4731428	4733610	chr17:4731428	MED11	protein_coding	chr17	4731428	4733608	chr17:4731428	ENSG00000161920
MED13	4170.42274130616	0.222253631372704	0.164590526282892	1.35034279549421	0.176906050951814	0.515104601316064	ENSG00000108510	MED13	protein_coding	chr17	61942605	62065282	chr17:61942605	MED13	protein_coding	chr17	61942605	62065278	chr17:61942605	ENSG00000108510
MED13L	7427.81199050301	0.404540083225525	0.126365282944796	3.2013546268262	0.00136783075739829	0.044019951440629	ENSG00000123066	MED13L	protein_coding	chr12	115953872	116277338	chr12:115953872	MED13L	protein_coding	chr12	115957905	116277693	chr12:115957905	ENSG00000123066
MED15	4411.62516839804	0.0578469426066052	0.14492562611487	0.39914916469469	0.689783297829697	0.887017166545562	ENSG00000099917	MED15	protein_coding	chr22	20495913	20587632	chr22:20495913	MED15	protein_coding	chr22	20495913	20587632	chr22:20495913	ENSG00000099917
MED16	1549.07302483389	-0.238386717697768	0.292464249471803	-0.815096949894901	0.415016817412962	0.73514319142701	ENSG00000175221	MED16	protein_coding	chr19	867630	893218	chr19:867630	MED16	protein_coding	chr19	867630	893218	chr19:867630	ENSG00000175221
MED17	1343.63507811964	0.222995821179273	0.101159075315756	2.20440746896131	0.02749570087783	0.218204547637715	ENSG00000042429	MED17	protein_coding	chr11	93784227	93814695	chr11:93784227	MED17	protein_coding	chr11	93784227	93814963	chr11:93784227	ENSG00000042429
MED18	232.567617290984	-0.242391469922379	0.166639194109081	-1.45458858714661	0.145783192459032	0.473587864347833	ENSG00000130772	MED18	protein_coding	chr1	28329002	28335967	chr1:28329002	MED18	protein_coding	chr1	28329002	28335965	chr1:28329002	ENSG00000130772
